,model,region,scenario,unit,variable,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
47,REMIND-MAGPIE,World,ssp585,kt N2O / yr,Emissions|N2O,10900.0,11732.7,12646.8,13379.9,13171.3,13436.5,13434.1,13488.3,13224.0,12725.0
48,REMIND-MAGPIE,World,ssp585,kt NF3 / yr,Emissions|NF3,1.3581,1.4246,1.5738,1.6846,1.8154,1.8682,1.9069,1.8797,1.8356,1.7814
49,REMIND-MAGPIE,World,ssp585,kt SF6 / yr,Emissions|SF6,8.02,8.4127,9.2939,9.9479,10.7207,11.0328,11.2612,11.1,10.84,10.52
50,REMIND-MAGPIE,World,ssp585,kt SO2F2 / yr,Emissions|SO2F2,2.5317,2.9687,2.4126,2.0581,1.8304,1.6837,1.5905,1.531,1.4249,1.4249
51,REMIND-MAGPIE,World,ssp585,kt cC4F8 / yr,Emissions|cC4F8,1.2672,1.486,1.2075,1.0302,0.9162,0.8429,0.796,0.7662,0.7133,0.7133
0,IMAGE,World,ssp119,Mt BC / yr,Emissions|BC,9.7274,7.8244,4.4342,3.5457,2.7975,2.5188,2.3703,2.2437,2.1774,2.0746
1,IMAGE,World,ssp119,Mt CH4 / yr,Emissions|CH4,388.073,358.908,243.027,200.613,170.197,157.559,146.46,132.247,120.764,111.721
2,IMAGE,World,ssp119,Mt CO / yr,Emissions|CO,934.35,794.368,526.459,515.612,446.51,415.536,396.224,374.055,362.739,346.142
3,IMAGE,World,ssp119,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,3517.44,3175.6,372.327,1383.65,-815.088,-1490.52,-1832.28,-2121.98,-2222.96,-2381.43
4,IMAGE,World,ssp119,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,35635.3,36518.1,22474.9,9091.44,2865.45,-35.4631,-2644.69,-5186.8,-8342.06,-11508.4
5,IMAGE,World,ssp119,Mt NH3 / yr,Emissions|NH3,65.2797,65.1383,64.8584,65.2172,64.7321,64.1026,63.8746,63.6149,63.5182,63.1821
6,IMAGE,World,ssp119,Mt NOx / yr,Emissions|NOx,155.52,145.447,86.6826,64.4287,49.053,44.4754,42.5813,40.3058,38.4652,37.3682
7,IMAGE,World,ssp119,Mt OC / yr,Emissions|OC,34.746,29.1462,20.8164,20.6415,17.3921,16.2199,15.5689,14.532,13.9669,12.9397
8,IMAGE,World,ssp119,Mt SO2 / yr,Emissions|Sulfur,100.771,79.5492,36.4559,23.6226,21.6284,20.67,18.4064,15.5041,12.622,9.4614
9,IMAGE,World,ssp119,Mt VOC / yr,Emissions|VOC,227.245,190.598,116.774,110.109,93.0786,83.8352,75.2484,66.4428,62.7837,58.5157
10,IMAGE,World,ssp119,kt C2F6 / yr,Emissions|C2F6,1.57,1.9523,0.4605,0.2826,0.1657,0.1013,0.0659,0.045,0.0273,0.0096
11,IMAGE,World,ssp119,kt C3F8 / yr,Emissions|C3F8,0.4478,0.5568,0.1313,0.0806,0.0473,0.0289,0.0188,0.0128,0.0078,0.0027
12,IMAGE,World,ssp119,kt C4F10 / yr,Emissions|C4F10,0.0994,0.1236,0.0292,0.0179,0.0105,0.0064,0.0042,0.0029,0.0017,0.0006
13,IMAGE,World,ssp119,kt C5F12 / yr,Emissions|C5F12,0.0435,0.0541,0.0127,0.0078,0.0046,0.0028,0.0018,0.0012,0.0007,0.0002
14,IMAGE,World,ssp119,kt C6F14 / yr,Emissions|C6F14,0.35,0.4352,0.1026,0.063,0.037,0.0225,0.0147,0.0101,0.0061,0.0022
15,IMAGE,World,ssp119,kt C7F16 / yr,Emissions|C7F16,0.2338,0.2907,0.0686,0.0421,0.0247,0.0151,0.0098,0.0067,0.0041,0.0014
