,model,region,scenario,unit,variable,Year,Emissions
148,REMIND-MAGPIE,World,ssp585,kt Halon1211 / yr,Emissions|Halon1211,2020,2.1847
149,REMIND-MAGPIE,World,ssp585,kt Halon1301 / yr,Emissions|Halon1301,2020,1.1071
150,REMIND-MAGPIE,World,ssp585,kt Halon2402 / yr,Emissions|Halon2402,2020,0.279
151,REMIND-MAGPIE,World,ssp585,kt N2O / yr,Emissions|N2O,2020,11732.7
152,REMIND-MAGPIE,World,ssp585,kt NF3 / yr,Emissions|NF3,2020,1.4246
153,REMIND-MAGPIE,World,ssp585,kt SF6 / yr,Emissions|SF6,2020,8.4127
154,REMIND-MAGPIE,World,ssp585,kt SO2F2 / yr,Emissions|SO2F2,2020,2.9687
155,REMIND-MAGPIE,World,ssp585,kt cC4F8 / yr,Emissions|cC4F8,2020,1.486
208,REMIND-MAGPIE,World,ssp585,Mt BC / yr,Emissions|BC,2030,8.4366
209,REMIND-MAGPIE,World,ssp585,Mt CH4 / yr,Emissions|CH4,2030,454.468
210,REMIND-MAGPIE,World,ssp585,Mt CO / yr,Emissions|CO,2030,754.609
211,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,2030,4546.87
212,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,2030,50749.7
213,REMIND-MAGPIE,World,ssp585,Mt NH3 / yr,Emissions|NH3,2030,77.1604
214,REMIND-MAGPIE,World,ssp585,Mt NOx / yr,Emissions|NOx,2030,162.37
215,REMIND-MAGPIE,World,ssp585,Mt OC / yr,Emissions|OC,2030,24.4034
216,REMIND-MAGPIE,World,ssp585,Mt SO2 / yr,Emissions|Sulfur,2030,71.5095
217,REMIND-MAGPIE,World,ssp585,Mt VOC / yr,Emissions|VOC,2030,218.806
218,REMIND-MAGPIE,World,ssp585,kt C2F6 / yr,Emissions|C2F6,2030,1.3588
219,REMIND-MAGPIE,World,ssp585,kt C3F8 / yr,Emissions|C3F8,2030,0.3876
220,REMIND-MAGPIE,World,ssp585,kt C4F10 / yr,Emissions|C4F10,2030,0.086
221,REMIND-MAGPIE,World,ssp585,kt C5F12 / yr,Emissions|C5F12,2030,0.0377
222,REMIND-MAGPIE,World,ssp585,kt C6F14 / yr,Emissions|C6F14,2030,0.303
223,REMIND-MAGPIE,World,ssp585,kt C7F16 / yr,Emissions|C7F16,2030,0.2023
224,REMIND-MAGPIE,World,ssp585,kt C8F18 / yr,Emissions|C8F18,2030,0.0878
225,REMIND-MAGPIE,World,ssp585,kt CCl4 / yr,Emissions|CCl4,2030,18.7952
226,REMIND-MAGPIE,World,ssp585,kt CF4 / yr,Emissions|CF4,2030,10.3582
227,REMIND-MAGPIE,World,ssp585,kt CFC11 / yr,Emissions|CFC11,2030,22.7964
228,REMIND-MAGPIE,World,ssp585,kt CFC113 / yr,Emissions|CFC113,2030,0.0909
229,REMIND-MAGPIE,World,ssp585,kt CFC114 / yr,Emissions|CFC114,2030,0.2594
230,REMIND-MAGPIE,World,ssp585,kt CFC115 / yr,Emissions|CFC115,2030,0.9519
231,REMIND-MAGPIE,World,ssp585,kt CFC12 / yr,Emissions|CFC12,2030,1.0122
232,REMIND-MAGPIE,World,ssp585,kt CH2Cl2 / yr,Emissions|CH2Cl2,2030,1830.52
233,REMIND-MAGPIE,World,ssp585,kt CH3Br / yr,Emissions|CH3Br,2030,129.958
234,REMIND-MAGPIE,World,ssp585,kt CH3CCl3 / yr,Emissions|CH3CCl3,2030,0.0
235,REMIND-MAGPIE,World,ssp585,kt CH3Cl / yr,Emissions|CH3Cl,2030,5351.66
236,REMIND-MAGPIE,World,ssp585,kt CHCl3 / yr,Emissions|CHCl3,2030,434.445
237,REMIND-MAGPIE,World,ssp585,kt HCFC141b / yr,Emissions|HCFC141b,2030,53.9924
238,REMIND-MAGPIE,World,ssp585,kt HCFC142b / yr,Emissions|HCFC142b,2030,11.6285
239,REMIND-MAGPIE,World,ssp585,kt HCFC22 / yr,Emissions|HCFC22,2030,143.31
240,REMIND-MAGPIE,World,ssp585,kt HFC125 / yr,Emissions|HFC125,2030,334.065
241,REMIND-MAGPIE,World,ssp585,kt HFC134a / yr,Emissions|HFC134a,2030,313.188
242,REMIND-MAGPIE,World,ssp585,kt HFC143a / yr,Emissions|HFC143a,2030,119.722
243,REMIND-MAGPIE,World,ssp585,kt HFC152a / yr,Emissions|HFC152a,2030,55.1187
244,REMIND-MAGPIE,World,ssp585,kt HFC227ea / yr,Emissions|HFC227ea,2030,7.9808
245,REMIND-MAGPIE,World,ssp585,kt HFC23 / yr,Emissions|HFC23,2030,0.8297
246,REMIND-MAGPIE,World,ssp585,kt HFC236fa / yr,Emissions|HFC236fa,2030,0.8813
247,REMIND-MAGPIE,World,ssp585,kt HFC245fa / yr,Emissions|HFC245fa,2030,39.6919
248,REMIND-MAGPIE,World,ssp585,kt HFC32 / yr,Emissions|HFC32,2030,2.2097
249,REMIND-MAGPIE,World,ssp585,kt HFC365mfc / yr,Emissions|HFC365mfc,2030,7.2099
250,REMIND-MAGPIE,World,ssp585,kt HFC4310mee / yr,Emissions|HFC4310mee,2030,1.1359
251,REMIND-MAGPIE,World,ssp585,kt Halon1202 / yr,Emissions|Halon1202,2030,0.0
252,REMIND-MAGPIE,World,ssp585,kt Halon1211 / yr,Emissions|Halon1211,2030,0.9614
253,REMIND-MAGPIE,World,ssp585,kt Halon1301 / yr,Emissions|Halon1301,2030,0.7583
254,REMIND-MAGPIE,World,ssp585,kt Halon2402 / yr,Emissions|Halon2402,2030,0.1793
255,REMIND-MAGPIE,World,ssp585,kt N2O / yr,Emissions|N2O,2030,12646.8
256,REMIND-MAGPIE,World,ssp585,kt NF3 / yr,Emissions|NF3,2030,1.5738
257,REMIND-MAGPIE,World,ssp585,kt SF6 / yr,Emissions|SF6,2030,9.2939
258,REMIND-MAGPIE,World,ssp585,kt SO2F2 / yr,Emissions|SO2F2,2030,2.4126
259,REMIND-MAGPIE,World,ssp585,kt cC4F8 / yr,Emissions|cC4F8,2030,1.2075
312,REMIND-MAGPIE,World,ssp585,Mt BC / yr,Emissions|BC,2040,8.0625
313,REMIND-MAGPIE,World,ssp585,Mt CH4 / yr,Emissions|CH4,2040,542.293
314,REMIND-MAGPIE,World,ssp585,Mt CO / yr,Emissions|CO,2040,706.197
315,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC AFOLU,2040,3435.74
316,REMIND-MAGPIE,World,ssp585,Mt CO2 / yr,Emissions|CO2|MAGICC Fossil and Industrial,2040,65340.0
317,REMIND-MAGPIE,World,ssp585,Mt NH3 / yr,Emissions|NH3,2040,80.8959
318,REMIND-MAGPIE,World,ssp585,Mt NOx / yr,Emissions|NOx,2040,169.626
319,REMIND-MAGPIE,World,ssp585,Mt OC / yr,Emissions|OC,2040,21.3377
320,REMIND-MAGPIE,World,ssp585,Mt SO2 / yr,Emissions|Sulfur,2040,71.474
321,REMIND-MAGPIE,World,ssp585,Mt VOC / yr,Emissions|VOC,2040,209.566
322,REMIND-MAGPIE,World,ssp585,kt C2F6 / yr,Emissions|C2F6,2040,0.9371
323,REMIND-MAGPIE,World,ssp585,kt C3F8 / yr,Emissions|C3F8,2040,0.2673
324,REMIND-MAGPIE,World,ssp585,kt C4F10 / yr,Emissions|C4F10,2040,0.0593
325,REMIND-MAGPIE,World,ssp585,kt C5F12 / yr,Emissions|C5F12,2040,0.026
326,REMIND-MAGPIE,World,ssp585,kt C6F14 / yr,Emissions|C6F14,2040,0.2089
327,REMIND-MAGPIE,World,ssp585,kt C7F16 / yr,Emissions|C7F16,2040,0.1396
328,REMIND-MAGPIE,World,ssp585,kt C8F18 / yr,Emissions|C8F18,2040,0.0605
329,REMIND-MAGPIE,World,ssp585,kt CCl4 / yr,Emissions|CCl4,2040,10.1234
330,REMIND-MAGPIE,World,ssp585,kt CF4 / yr,Emissions|CF4,2040,8.8363
331,REMIND-MAGPIE,World,ssp585,kt CFC11 / yr,Emissions|CFC11,2040,14.8012
332,REMIND-MAGPIE,World,ssp585,kt CFC113 / yr,Emissions|CFC113,2040,0.0201
333,REMIND-MAGPIE,World,ssp585,kt CFC114 / yr,Emissions|CFC114,2040,0.0751
334,REMIND-MAGPIE,World,ssp585,kt CFC115 / yr,Emissions|CFC115,2040,0.6544
335,REMIND-MAGPIE,World,ssp585,kt CFC12 / yr,Emissions|CFC12,2040,0.1707
336,REMIND-MAGPIE,World,ssp585,kt CH2Cl2 / yr,Emissions|CH2Cl2,2040,1869.29
337,REMIND-MAGPIE,World,ssp585,kt CH3Br / yr,Emissions|CH3Br,2040,122.239
338,REMIND-MAGPIE,World,ssp585,kt CH3CCl3 / yr,Emissions|CH3CCl3,2040,0.0
339,REMIND-MAGPIE,World,ssp585,kt CH3Cl / yr,Emissions|CH3Cl,2040,5193.58
340,REMIND-MAGPIE,World,ssp585,kt CHCl3 / yr,Emissions|CHCl3,2040,384.125
341,REMIND-MAGPIE,World,ssp585,kt HCFC141b / yr,Emissions|HCFC141b,2040,31.7665
342,REMIND-MAGPIE,World,ssp585,kt HCFC142b / yr,Emissions|HCFC142b,2040,3.6001
343,REMIND-MAGPIE,World,ssp585,kt HCFC22 / yr,Emissions|HCFC22,2040,20.2888
344,REMIND-MAGPIE,World,ssp585,kt HFC125 / yr,Emissions|HFC125,2040,420.423
345,REMIND-MAGPIE,World,ssp585,kt HFC134a / yr,Emissions|HFC134a,2040,320.854
346,REMIND-MAGPIE,World,ssp585,kt HFC143a / yr,Emissions|HFC143a,2040,156.243
347,REMIND-MAGPIE,World,ssp585,kt HFC152a / yr,Emissions|HFC152a,2040,46.6095
348,REMIND-MAGPIE,World,ssp585,kt HFC227ea / yr,Emissions|HFC227ea,2040,8.4836
349,REMIND-MAGPIE,World,ssp585,kt HFC23 / yr,Emissions|HFC23,2040,0.5312
350,REMIND-MAGPIE,World,ssp585,kt HFC236fa / yr,Emissions|HFC236fa,2040,1.1627
351,REMIND-MAGPIE,World,ssp585,kt HFC245fa / yr,Emissions|HFC245fa,2040,52.3667
352,REMIND-MAGPIE,World,ssp585,kt HFC32 / yr,Emissions|HFC32,2040,1.4147
353,REMIND-MAGPIE,World,ssp585,kt HFC365mfc / yr,Emissions|HFC365mfc,2040,7.3864
354,REMIND-MAGPIE,World,ssp585,kt HFC4310mee / yr,Emissions|HFC4310mee,2040,0.9605
